id,question_text,option_a,option_b,option_c,option_d,has_image,image_urls,source_url
11,"Motor çok sıcak iken radyatöre soğuk su konulması aşağıdakilerden hangisine sebep olur?","Motorun stop etmesine","Motor gücünün artmasına","Motor bloğunun çatlamasına","Motor sıcaklığının artmasına",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
12,"Yönetmeliğe göre işitme cihazı ile belirli bir duyma yeterliliğine ulaşan sürücü, aşağıdaki sürücü belgelerinden hangisi ile araç kullanabilir?","G sınıfı","A1 ve A2 sınıfı","C, CE ve D sınıfı","B sınıfı (hususi araç)",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
13,"Görsele göre, hangisinin yapılması doğru olur?","1 numaralı aracın 2 numaralı araca geçme önceliği vermesi","1 numaralı aracın, 2 numaralı araca geçiş kolaylığı sağlamak için, solundaki şeride geçmesi","2 numaralı aracın, 1 numaralı araç geçtikten sonra sol şeride geçmesi","2 numaralı aracın, 1 numaralı aracı uyararak yavaşlatması",TRUE,"/images/animasyonlu_sorular/19.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
14,"Şekildeki trafik işaretinin anlamı nedir?","Taşıt giremez","Motosiklet giremez","Taşıt trafiğine kapalı yol","Motosiklet hariç motorlu taşıt trafiğine kapalı yol",TRUE,"/images/17aralik2016/21.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
15,"Aşağıdakilerden hangisi, şok durumundaki kazazedeye yapılması gereken ilk yardım uygulamalarındandır?","Yarı oturur pozisyon verilmesi","Fiziksel hareketinin artırılması","Hava yolu açıklığının sağlanması","Soğuk suyla ıslatılmış çarşafla üzerinin örtülmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
16,"Aşağıdakilerden hangisi çıkıklarda yapılan ilk yardım uygulamalarındandır?","Kazazedenin hareket ettirilmesi","Çıkığın yerine oturtulmaya çalışılması","Çıkığın alt bölgesindeki deri rengi, ısı ve nabzın kontrol edilmesi","Eklemin düzeltildikten sonra tespit edilmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
17,"Şekle göre aşağıdaki ifadelerden hangisi yanlıştır?","1 ve 2 numaralı taşıtlar ana yoldadır.","3 ve 4 numaralı taşıtlar tali yoldadır.","3 ve 4 numaralı taşıtlar bölünmüş kara yolundadır.","1, 2, 3 ve 4 numaralı taşıtlar iki yönlü kara yolundadır.",TRUE,"/images/10sinav10/soru33.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
18,"Aşağıdaki durumların hangisinde, sürüş esnasında refleksler zayıflamış olacağından direksiyon başındaki tepkiler çok daha yavaş gerçekleşecektir?","Sürüş öncesi alkollü içki içilmişse","Sürüş öncesi düzenli ve yeterli uyku uyunmuşsa","Molalarda kan dolaşımını artıran hareketler yapılmışsa","Temiz hava için aracın camları kısa süreliğine açılmışsa",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
19,"Yakıtı doğrudan doğruya silindirler içersinde yakan ve üretilen ısı enerjisini pistonbiyel mekanizması ile krank miline ileten motorlara ne ad verilir?","Marş motoru","Elektrik motoru","İçten yanmalı motor","Dıştan yanmalı motor",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
20,"Hangisini yapmak çevrenin temiz kalmasına katkı sağlar?","Gereksiz yere korna çalmak","Seyahat esnasında, yiyecek atıklarını otoyol kenarlarına bırakmak","Egzoz emisyon ölçümünü geciktirmek","Araç bakımlarını zamanında yaptırmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
21,"Bir sürücünün, emniyet kemeri kullanmaya özen göstermesinin esas nedeni ne olmalıdır?","Trafik kazalarında koruyucu önlem olarak görmek","Araçta bulunan uyarı sistemini susturmak","Denetimlerde problem yaşamamak","Ceza almaktan çekinmek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
22,"Aracın periyodik bakımı yapılırken aşağıdakilerden hangisinin değiştirilmemesi araç motorunun çalışmasını olumsuz etkiler?","Fren balatasının","Polen filtresinin","Yakıt filtresinin","Geri vites müşirinin",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
23,"Fan motoru çalıştığı hâlde motor suyunun soğumamasının sebebi aşağıdakilerden hangisidir?","Radyatör petekleri tıkanmıştır.","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
24,"Videoya göre sürücü nasıl davranmalıdır?","Sabit hızla aynı şeritte yoluna devam etmeli","Sol şeride geçip derhal servise gitmeli","Yavaşlayıp sağ şeritten yoluna devam etmeli","Trafik kurallarına uygun olarak derhal durmalı",TRUE,"https://player.vimeo.com/video/1024686199?h=8aeedd3677","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
25,"Yetişkinlere yapılan dış kalp masajı uygulamasıyla ilgili olarak verilenlerden hangisi doğrudur?","Ellerin parmakları göğüs kafesiyle temas ettirilmeden, dirsekler bükülmeden ve göğüs kemiği üzerine vücuda dik olacak şekilde tutulması","Göğüs kemiğinin alt ve üst ucunun tespit edilerek üst yarısına, orta ve yüzük parmağının dik olarak yerleştirilmesi","Uygulama hızının dakikada 30 bası olacakşekilde ayarlanması","Göğüs kemiği 3 cm aşağı inecek şekildebası uygulanması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
26,"Aşağıdakilerden hangisi atardamar kanamalarına ait bir özelliktir?","Küçük kabarcıklar şeklinde kanama olması","Yüzeysel bir yaradan yayılarak, yavaş akması","Koyu kırmızı renkteki kanın taşar biçimde akması","Açık kırmızı renkteki kanın, kalp atımı ile eş zamanlı fışkırır tarzda akması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
27,"Aşağıdaki parçalardan hangisi arızalandığında motor yağında su, soğutma suyunda yağ olduğu gözlenir?","Piston","Kam mili","Krank mili","Silindir kapak contası",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
28,"Hangisi, motor soğutma sisteminin elemanı değildir?","Balata","Su pompası","Radyatör","Termostat",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
29,"Motordaki yağ basıncını sürücüye bildiren gösterge aşağıdakilerden hangisidir?","Yağ göstergesi","Yakıt göstergesi","Hararet göstergesi","Motor devir göstergesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
30,"Yağ çubuğunun görevi aşağıdakilerden hangisidir?","Antifriz seviyesini göstermek","Elektrolit seviyesini göstermek","Motor yağı seviyesini göstermek","Soğutma suyu seviyesini göstermek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
31,"Aşağıdaki tehlike uyarı işaretlerinden hangisi “gevşek malzemeli zemin” anlamındadır?","","","","",TRUE,"/images/7-ekim-2017/17a.gif;/images/7-ekim-2017/17b.gif;/images/7-ekim-2017/17c.gif;/images/7-ekim-2017/17d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
32,"Aşağıdakilerden hangisi yakıt sisteminin parçası değildir?","Yakıt pompası","Enjektörler","Endüksiyon bobini","Hava filtresi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
33,"Aracın 2 saniyede gideceği yol uzunluğu, hangi mesafenin belirlenmesinde kullanılır?","Takip mesafesi","Geçiş mesafesi","İntikal mesafesi","Görüş mesafesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
34,"Aracın gösterge panelinde aşağıdaki ikaz ışıklarından hangisinin yanıyor olması, şarj sisteminin çalışmadığını gösterir?","","","","",TRUE,"/images/10sinav10/soru109a.gif;/images/10sinav10/soru109b.gif;/images/10sinav10/soru109c.gif;/images/10sinav10/soru109d.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
35,"Demir yolu (hemzemin) geçidinde aşağıdakilerden hangisinin yapılması yasaktır?","Bariyer açık ise dikkatli geçilmesi","Bariyer kapalı ise durulması","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
36,"Araç park edildikten sonra aşağıdakilerden hangisini yapmak gerekir?","Vitesi boşa almak","El frenini çekmek","Fren pedalına basmak","Debriyaj pedalına basmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
37,"Aracın kullanma kılavuzuna göre, belirli kilometre dolunca aşağıdaki parçalardan hangisi değiştirilir?","Buji","Manifold","Karbüratör","Teker jantı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
38,"Aşağıdakilerden hangisi solunum durmasına bağlı olarak dokuların oksijensiz kaldığını gösteren bir belirtidir?","Göz bebeklerinin küçülmesi","Kişinin aktif ve huzursuz olması","Yüzde kızarma ve vücut sıcaklığının artması","Parmak uçları ve dudaklardan başlayıp yayılan morarma olması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
39,"Araç motorunun ilk çalıştırılması esnasında vites hangi konumda olmalıdır?","Boş","1. vites","2. vites","3. vites",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
40,"Aşağıdakilerden hangisi motorun harareti yükseldiğinde yapılması gereken işlemlerdendir?","Motorun üzerine su dökülmesi","Klimanın, çalışıyorsa kapatılması","Motorun stop edilerek soğuk su ilave edilmesi","Motorun stop edilerek soğuk antifriz ilave edilmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
41,"Bebeklerde (0-12 ay) tek ilk yardımcı ile yapılan dış kalp masajı uygulanması ile ilgili olarak aşağıdakilerden hangisi doğrudur?","Göğüs ve sırt kısmının iki elin arasına alınarak sıkıştırılması","Sağ elin yumruk hâline getirilerek göğüs merkezine vurulması","Göğüs kemiği 6 cm aşağıya inecek şekilde basınç uygulanması","Bir elin orta ve yüzük parmağı ile göğüs kemiği 4 cm aşağıya inecek şekilde basınç uygulanması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
42,"I- Trafik kültürünün ve güvenlik bilincinin gelişmesine katkıda bulunmak
II- İnsan faktöründen kaynaklanan trafik kazalarının azalmasını sağlamak
III- Trafik kazaları nedeniyle, insan, araç ve çevrede meydana gelen zararı azaltmak

Verilenlerden hangileri trafik psikolojisinin hedeflerindendir?","Yalnız I","I ve II","II ve III","I, II ve III",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
43,"Araçların güvenli bir şekilde yavaşlamasını, durmasını ve sabitlenmesini sağlayan sistem aşağıdakilerden hangisidir?","Fren sistemi","Marş sistemi","Ateşleme sistemi","Süspansiyon sistemi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
44,"Görseldeki gibi bir karşılaşmada, 2 numaralı araç sürücüsü ne yapmalıdır?","Geçiş önceliğini kendisi kullanmalı","Hızlanıp köprüye 1 numaralı araçtan önce girmeli","Geçiş önceliğini 1 numaralı araca vermeli","1 numaralı aracın daralan yol bölümüne girmemesi için selektör yaparak uyarmalı",TRUE,"/images/animasyonlu_sorular/25.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
45,"Aşağıdaki kanama türlerinden hangisinde, kan kaybı diğerlerine nazaran fazla olduğu için daha kısa sürede hayati tehlike meydana gelir?","Burun kanamaları","Atardamar kanamaları","Kılcal damar kanamaları","Toplardamar kanamaları",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
46,"Kara yolunun sağ ve soluna konan şekildeki trafik işaretleri sürücülere aşağıdakilerden hangisine yaklaşıldığını bildirir?","Kavşağa","Köprüye","Tali yola","Demir yoluna",TRUE,"/images/sorular/29haziran2013ehliyetsorulari/soru27.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
47,"Aracın motorunda başlayan bir yangını, yangın söndürücü ile söndürmek için ilk olarak aşağıdakilerden hangisi yapılır?","Kaput açılır ve yangın söndürücü alevin üstüne püskürtülür.","Kaput açılmadan, yangın söndürücü motorun ön ve alt kısmına püskürtülür.","Motora önce su döküp, daha sonra yangın söndürücü püskürtülür.","Aracın çevresine yangın söndürücü püskürtülür.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
48,"Şok pozisyonunda, kazazedenin bacakları kaç cm kadar yukarı kaldırılır?","30","40","50","60",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
49,"Aksine bir işaret yoksa şekildeki aracın yerleşim yeri içindeki azami hızı saatte kaç kilometredir?","50","70","80","90",TRUE,"/images/sorular/29haziran2013ehliyetsorulari/soru34.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
50,"Aşağıdakilerden hangisi geçiş üstünlüğüne sahiptir?","Tarım araçları","Toplu taşıma araçları","Gümrük muhafaza araçları","Yaralı ve acil hasta taşıyan araçlar",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-1.html"
51,"Tehlikeli madde taşıyan araçlar arızalandığında aşağıdakilerden hangisi yapılmalıdır?","","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
52,"Acil uyarı ışıkları ile diğer araç sürücüleri uyarılmalı","Acil uyarı ışıkları ile diğer araç sürücüleri uyarılmalı","Aracın ön ve arkasına büyük boyutlu taşlar dizilmeli","Kırmızı ışık veren cihazlarla işaretlenip gözcü bulundurulmalı","Araç üzerine tehlikeli madde yazılı levhalar konulmalı",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
53,"Görseldeki aracın sürücüsüyle ilgili hangisi kesinlikle söylenir?","Trafik adabına uygun davrandığı","Empati kurabilen biri olduğu","Trafikte saygı kavramına önem verdiği","Sorumluluk bilincinin zayıf olduğu",TRUE,"/images/animasyonlu_sorular/47.JPG","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
54,"Aşağıdakilerden hangisi, bir kaza anında sürücü ve yolcuları araçta tutacak, vücudun ileri-sağa-sola veya yukarı vurmasını önleyecek teçhizattır?","Açılabilir tavan","Emniyet kemeri","Panoramik cam","Hidrolik direksiyon",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
55,"I. Azami yüklü ağırlığın %20’den fazla aşılması hâlinde, yükü uygun hâle getirilinceye kadar araç trafikten men edilir. II. Taşıma sınırı üstünde yolcu alınması durumunda bütün sorumluluk ve giderler işletenine ait olmak üzere yolcuların en yakın yerleşim biriminde indirilmesi sağlanır. Verilen bilgiler için aşağıdakilerden hangisi söylenebilir?","I. doğru, II. yanlış","I. yanlış, II. doğru","Her ikisi de doğru","Her ikisi de yanlış",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
56,"Araçta kısa devreden doğacak yangın durumunda nasıl davranılır?","Alternatörün kablosu çıkarılır.","Akünün kutup başları çıkarılır.","Distribütörün kablosu çıkarılır.","Marş motorunun kablosu çıkarılır.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
57,"Aksini gösteren bir trafik işareti yoksa, eğimsiz iki yönlü dar yolda kamyonet ile lastik tekerlekli traktörün karşılaşması hâlinde, hangisi diğerine yol vermelidir?","Hızı fazla olan az olana","Şeridi daralmış olan diğerine","Lastik tekerlekli traktör, kamyonete","Kamyonet, Lastik tekerlekli traktöre",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
58,"Dizel motorlu aracın gösterge panelinde bulunan şekildeki uyarı lambasının yanıyor olması neyi bildirir?","Fren hidrolik seviyesinin çok düştüğünü","Arka sis lambasının yanmakta olduğunu","Ön ısıtma bujilerinin çalışmakta olduğunu","Egzozdan çevreyi tehdit edecek boyutta gaz yayıldığını",TRUE,"/images/sorular/deneme/soru44.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
59,"Aşağıdakilerden hangisi kavrama (debriyaj) sisteminin görevidir?","Motorun hareketini supaplara iletmek veya kesmek","Motorun hareketini altenatöre iletmek veya kesmek","Motorun hareketini vites kutusuna iletmek veya kesmek","Motorun hareketini marş motoruna iletmek veya kesmek",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
60,"Aşağıdakilerden hangisi ruhsal yapısı bozuk sürücü davranışlarındandır?","Çevreye saygılı olmak","Kurallara uymakta özen göstermek","Başkalarının haklarına saygı göstermek","Kullandıkları her araçta geçiş üstünlüğünü kendilerine ait sanmak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
61,"Sivas'tan hareket eden bir araç, haritada görüldüğü gibi önce Konya'ya oradan da Uşak'a gitmiştir. Bu durumda araç hangi yönlerde hareket etmiş olur?","Batı-Doğu","Kuzey-Güney","Güneybatı-Kuzeybatı","Kuzeybatı-Güneydoğu",TRUE,"/images/sorular/deneme/soru40.jpg","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
62,"Havada bulunan oksijen ile kanda bulunan karbondioksitin yer değiştirmesi işlemi, vücudumuzdaki hangi sistem sayesinde gerçekleşir?","Sinir sistemi","Sindirim sistemi","Solunum sistemi","İskelet sistemi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
63,"Okul taşıtının arkasındaki DUR işaretinin yandığını gören, arkadan gelen sürücü nasıl hareket etmelidir?","Aracını durdurmalıdır.","Dikkatli ve yavaş geçmelidir.","Diğer sürücüleri uyarmalıdır.","Hızını artırarak uzaklaşmalıdır.",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
64,"Aşağıdakilerden hangisi çevre kirliliğini önleme açısından olumlu bir davranıştır?","","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
65,"Videoya göre hangisinin yapılması doğru olur?","Beyaz otomobil sürücüsünün beklemesi","Sarı otomobil sürücüsünün hızlanması","Siyah otomobil sürücüsünün sol şeride geçmesi","Siyah otomobil sürücüsünün beyaz otomobil sürücüsüne ilk geçiş hakkını vermesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
66,"Sürücüler, geceleri yakın ilerisi görülmeyen kavşak, dönemeç ve tepe üstlerine yaklaşırken gelişlerini nasıl haber vermek zorundadır?","Dönüş ışıklarını yakarak","Birkaç defa korna çalarak","Acil uyarı ışıklarını yakarak","Yakın ve uzağı gösteren ışıkları art arda ve sıra ile yakarak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
67,"I- Soğukkanlılığını korumak
II- Her zaman tedbirli olmak
III- Emin olmadığı uygulamalardan kaçınmak

Yukarıdakilerden hangileri ilk yardımı yapacak kişide bulunmalıdır?","Yalnız I","I - II","II - III","I - II - III",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
68,"Aksine bir işaret bulunmadıkça otoyolda minibüs ve otobüsler için azami hız saatte kaç kilometredir?","80","90","100","110",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
69,"Kazazedelerde görülen kırık ve ezilmeler hangi sistemi ilgilendiren bir konudur?","Boşaltım sistemini","Dolaşım sistemini","Hareket sistemini","Sindirim sistemini",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
70,"Ters yönden gelen bir sürücüye “Bu sokak tek yönlü, herhalde siz girişteki levhayı görmediniz, lütfen daha dikkatli olun.” diyen bir sürücü, trafikteki temel değerlerden hangisine uygun davranmıştır?","İnatlaşmaya","Aşırı tepki göstermeye","Kaba ve saldırgan davranmaya","Trafik kültüründe birbirini uyarmaya",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
71,"Aracın gösterge panelinde şekildeki uyarı lambasının yanıyor olması neyi bildirir?","Motor kaputunun tam kapanmadığını","Lastik hava basıncının düşük olduğunu","Soğutma sıvısı sıcaklığının çok yükseldiğini","Fren balatalarının görevini tam yapmadığını",TRUE,"/images/20-mayis-2017/39.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
72,"Aşağıdakilerden hangisi, bebeklere yapılan suni solunum uygulamasında dikkat edilecek kurallardandır?","Bebeğin yumuşak bir zemin üzerine, sırt üstü yatırılması","Hava yolu tıkanıklığına neden olan yabancı cisim varsa bebeğin yutmasının sağlanması","Bebeğin solunum yapıp yapmadığının bak-dinle-hisset yöntemiyle 1 dakika süre ile kontrol edilmesi","Solunum yoksa ağzın, bebeğin ağız ve burnunu içine alacak şekilde yerleştirilip ağız dolusu nefes verilmesi",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
73,"Şekildeki trafik işareti neyi bildirir?","Kasisli yola girileceğini","Yolda çalışma olduğunu","Yolun trafiğe kapalı olduğunu","Motorlu taşıtların giremeyeceğini",TRUE,"/images/10sinav7/soru39.gif","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
74,"Çok şeritli yollarda gidişe ayrılan şeritlerden hangisi devamlı olarak işgal edilemez?","En sağdaki","Ortadaki","En soldaki","Orta ile en sağdaki",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
75,"Aşağıdakilerden hangisinin yapılması, karayollarında motorlu taşıt kullanabilmek için zorunludur?","Yeni bir iş kurmak","Kasko sigortası yaptırmak","Motor tamirciliği eğitimi almak","Aracın cinsine uygun sürücü belgesi almak",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
76,"Aşağıdaki işlemlerden hangisi trafiğe çıkacak araçların mevzuata uygunluğunu gösterir?","","","","",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
77,"Burun kanaması olan bir kazazedeye aşağıdaki uygulamalardan hangisinin yapılması doğrudur?","Sırtüstü yatırılıp başın geriye alınması","Sümkürtülerek burun içinin temizlenmesi","Burun köküne ve enseye sıcak uygulama yapılması","Baş ve işaret parmakları arasına alınan burun kemiğinin kuvvetlice sıkılması",FALSE,"","https://ehliyetsinavihazirlik.com/index.php/e-sinavlar-haziran-sorulari-2.html"
